step,stopping_distance,Radar_distance,speed,steer,gps_x,gps_y,actual_x,actual_y,time,risk_time
0,9.201738494740931e-17,4.503972,3.553137376289377e-08,-0.006207280678020647,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.4065887928009033,0.00039649009704589844
1,7.775645412471279e-17,4.9774537,3.266218839255967e-08,-0.01583725854084621,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.25310611724853516,0.0003669261932373047
2,7.56694077839344e-17,4.721788,3.2220867070821975e-08,-0.014020563449897735,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.25753045082092285,0.0003466606140136719
3,5.447180019179668e-18,5.053245,-8.64495863860233e-09,-0.012961433573235604,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24579620361328125,0.0003204345703125
4,1.6363893575634394e-16,5.234666,-4.738276267354025e-08,-0.01672958020956884,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.258317232131958,0.0004646778106689453
5,2.4151178100462873e-18,4.868832,-5.756337060478222e-09,-0.018906766139344083,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24419760704040527,0.00030303001403808594
6,3.9586727950035126e-18,5.1623254,-7.36973478135056e-09,-0.022285069768106302,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2522447109222412,0.0002994537353515625
7,6.70553110562091e-17,4.9524064,3.033148311064246e-08,-0.023026948836365132,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24616646766662598,0.0003077983856201172
8,1.3255228727003445e-17,5.789564,-1.3485612263982948e-08,-0.023369582477614257,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2503523826599121,0.0003218650817871094
9,1.4821554286092757e-17,5.282236,-1.4260144627779643e-08,-0.02359164762749582,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2520906925201416,0.0003066062927246094
10,3.892243949351582e-17,5.2145844,2.3108783391841232e-08,-0.025474992653034108,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2459263801574707,0.0004165172576904297
11,3.167470934188011e-17,5.012175,2.0846510791271402e-08,-0.025087480969283642,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24486231803894043,0.0003032684326171875
12,3.446253602139189e-17,5.932813,2.1744562405656655e-08,-0.024443698690599536,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24011826515197754,0.00031685829162597656
13,2.8880290341512157e-17,5.397628,1.9905717356718065e-08,-0.025549451818022564,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2449026107788086,0.00038504600524902344
14,2.94616452003535e-17,5.066077,-2.0105068319924955e-08,-0.02758487147974988,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.23979616165161133,0.0003414154052734375
15,3.184024288786447e-17,5.6762958,2.0900912238978962e-08,-0.02609528221157109,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24126958847045898,0.0004062652587890625
16,2.530154485287095e-16,5.706589,5.891834989045343e-08,-0.02635445663298697,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.23469185829162598,0.0003333091735839844
17,4.0875977246839327e-17,5.1518273,-2.3681604840606465e-08,-0.028224620342064518,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.25043535232543945,0.0003981590270996094
18,4.383787354051809e-16,5.0634804,-7.755357019350613e-08,-0.027325889394642373,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24452972412109375,0.00039887428283691406
19,9.80150751293772e-17,5.2785997,-3.667106258039239e-08,-0.027480181518165784,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2513618469238281,0.000446319580078125
20,8.066634671747186e-17,5.153188,-3.326773627651443e-08,-0.02987652734838427,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2480297088623047,0.0003426074981689453
21,2.0394067754405045e-17,5.199329,1.672742088878131e-08,-0.026962421494621615,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24749469757080078,0.0004241466522216797
22,1.5717410701827583e-17,5.3937855,-1.4684783785574592e-08,-0.030226609737825844,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24517321586608887,0.00040459632873535156
23,7.185448242251169e-17,5.8941593,3.13981448311339e-08,-0.031474618155868626,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.25268125534057617,0.00034332275390625
24,1.560288077864737e-18,5.3825865,-4.626786404007018e-09,-0.03047174342475802,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.25421762466430664,0.00034356117248535156
25,1.1985334634046253e-16,4.8096037,4.05510531526759e-08,-0.031510149938327334,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24732160568237305,0.00034880638122558594
26,0.0,6.164057,0.0,-0.029688308963885433,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24030542373657227,0.0003211498260498047
27,8.741492220576624e-21,5.130528,3.463138363772249e-10,-0.0324009988000626,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2518899440765381,0.0003478527069091797
28,1.3679659021101896e-16,5.405017,4.332261785367062e-08,-0.03291402811131192,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.2451646327972412,0.0003292560577392578
29,8.172914145153575e-17,5.252985,-3.3486173575299264e-08,-0.034711479713487765,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24769234657287598,0.0003299713134765625
30,2.5250393095981288e-18,6.2569275,5.885876258271688e-09,-0.036958819749456806,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24756598472595215,0.000335693359375
31,1.1521012005087026e-18,6.752851,3.975780234240746e-09,-0.03485551426841775,236.043624873463,38.02387193002167,235.36822509324125,10.252447217281603,0.24544167518615723,0.0004010200500488281
